selected project;rowId;projectId;ownerLogin;name;language;totalCommitters;totalcommits;projectAge;windowIdx;blauGender;turnover;female;lone;tenureMedian;tenureDiversity;expertise;teamSize;stCongruence;truckFactor;centrality
https://github.com/cloudfoundry-attic/cf-docs;850714;143060;cloudfoundry;cf-docs;Shell;133;1136;17;1;0.48;1;4;0;4;8;0.2;39;0.48;3;0.6
https://github.com/liferay/liferay-portal;148770;3981;liferay;liferay-portal;Java;341;118673;7;5;0.375;1;10;0;4;4;0.2;30;0.66;3;0.9
https://github.com/cloudfoundry-attic/cf-docs;850719;143060;cloudfoundry;cf-docs;Shell;133;1136;17;6;0.289;0.706;7;0;0;4;0.4;39;0.48;4;1.1
https://github.com/chapuni/llvm-project;356513;2947549;fangism;llvm;C++;33;101;20;1;0.198;1;1;0;4;5;0.1;38;0.59;5;0.1
https://github.com/django/django;450415;1226;django;django-html-escape;Python;1100;23604;17;6;0.165;0.318;2;0;5;4;0.9;36;0.8;2;1.3
https://github.com/rspec/rspec-core;579582;46357;rspec;core;Ruby;256;4802;6;14;0.119;0.301;1;0;2;5;0.1;37;0.58;3;0.7
https://github.com/moodle/moodle;559539;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;16;0.117;0.362;1;0;4;1;0.9;41;0.62;1;0.1
https://github.com/rspec/rspec-core;579586;46357;rspec;core;Ruby;256;4802;6;18;0.105;0.227;7;0;0;6;0.8;30;0.53;1;0.9
https://github.com/django/django;450425;1226;django;django-html-escape;Python;1100;23604;17;16;0.095;0.182;2;0;3;4;0.1;40;0.47;4;0.6
https://github.com/symfony/symfony-docs;531316;10070;symfony;symfony-docs-id;Python;772;9969;8;14;0.076;0.406;2;0;1;1;0;27;0.46;3;0.9
https://github.com/torvalds/linux;806630;1088;torvalds;linux-imx6-1;C;1053;104219;14;18;0.067;0.295;3;0;3;5;0.4;43;0.51;5;1.4
https://github.com/burke/zeus;995108;2857;burke;zeus;Go;55;714;18;4;0.019;0.079;3;0;2;3;0.3;44;0.47;2;0.7
https://github.com/mozilla/openbadger;148686;19064;mozilla;OpenBadger;JavaScript;15;862;17;5;0.245;0.111;9;1;2;7;0.2;31;0.48;3;0.5
https://github.com/django/django;450418;1226;django;django-html-escape;Python;1100;23604;17;9;0.208;0.353;1;1;2;7;0.8;45;0.76;5;0.8
https://github.com/akretion/openerp-addons;15066;3085817;Akretion;openerp-addons;Python;113;2363;19;6;0.194;0.407;1;1;2;0;0.8;43;0.59;5;1.4
https://github.com/liferay/liferay-portal;148773;3981;liferay;liferay-portal;Java;341;118673;7;8;0.173;0.152;4;1;4;2;0.3;34;0.78;2;1.4
https://github.com/puppetlabs/puppet;211239;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;23;0.112;0.456;11;1;1;8;1;39;0.49;2;0.6
https://github.com/moodle/moodle;559542;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;19;0.105;0.418;1;1;4;4;1;20;0.6;5;1.1
https://github.com/rspec/rspec-core;579579;46357;rspec;core;Ruby;256;4802;6;11;0.103;0.288;1;1;5;4;0.8;33;0.4;2;0.3
https://github.com/moodle/moodle;559543;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;20;0.09;0.364;3;1;1;6;0;34;0.7;5;0.9
https://github.com/rspec/rspec-core;579581;46357;rspec;core;Ruby;256;4802;6;13;0.087;0.102;5;1;4;8;0.8;20;0.52;3;0.5
https://github.com/torvalds/linux;806634;1088;torvalds;linux-imx6-1;C;1053;104219;14;22;0.071;0.347;2;1;0;1;0.5;23;0.61;2;0.7
https://github.com/jedi4ever/veewee;191002;13255;jedi4ever;veewee;Shell;366;3228;11;4;0.054;0.458;5;1;2;6;0.4;22;0.48;4;0
https://github.com/jedi4ever/veewee;191003;13255;jedi4ever;veewee;Shell;366;3228;11;5;0.029;0.427;4;1;1;3;0.7;33;0.59;2;0.7
https://github.com/rspec/rspec-core;579576;46357;rspec;core;Ruby;256;4802;6;8;0.025;0.22;1;1;4;2;0.1;30;0.77;1;0.7
https://github.com/symfony/symfony-docs;531308;10070;symfony;symfony-docs-id;Python;772;9969;8;6;0.021;0.618;5;1;2;0;0.5;30;0.6;1;0.4
https://github.com/chapuni/llvm-project;554385;378623;CTSRD-CHERI;llvm;C++;16;208;18;3;0.32;0.8;2;2;2;7;0.4;26;0.53;2;0.4
https://github.com/chapuni/llvm-project;554384;378623;CTSRD-CHERI;llvm;C++;16;208;18;1;0.165;1;2;2;4;0;1;44;0.5;1;0.7
https://github.com/rspec/rspec-core;579584;46357;rspec;core;Ruby;256;4802;6;16;0.121;0.239;25;2;5;8;0.1;28;0.51;5;0.4
https://github.com/robbyrussell/oh-my-zsh;839940;3231;robbyrussell;zsh-config;Python;3384;25212;6;10;0.094;0.616;4;2;2;3;1;24;0.51;3;0.6
https://github.com/moodle/moodle;559538;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;15;0.093;0.34;1;2;3;0;1;42;0.6;1;0.4
https://github.com/chapuni/llvm-project;739696;10;chapuni;llvm;C++;269;11874;12;7;0.082;0.388;3;2;0;5;0.3;20;0.59;5;0.6
https://github.com/rspec/rspec-core;579577;46357;rspec;core;Ruby;256;4802;6;9;0.08;0.25;5;2;4;1;0.5;29;0.42;5;0.9
https://github.com/liferay/liferay-portal;148777;3981;liferay;liferay-portal;Java;341;118673;7;12;0.075;0.315;3;2;3;6;0.7;23;0.51;5;1.4
https://github.com/emberjs/ember.js;778483;540;emberjs;amber.js;JavaScript;480;9756;13;7;0.074;0.215;8;2;4;6;1;20;0.45;1;0.6
https://github.com/robbyrussell/oh-my-zsh;839935;3231;robbyrussell;zsh-config;Python;3384;25212;6;5;0.04;0.658;1;2;4;7;0.8;26;0.47;3;0.5
https://github.com/torvalds/linux;806627;1088;torvalds;linux-imx6-1;C;1053;104219;14;15;0.035;0.505;5;2;4;8;0.1;44;0.56;4;0.4
https://github.com/akretion/openerp-addons;15061;3085817;Akretion;openerp-addons;Python;113;2363;19;1;0.375;1;1;3;0;4;0;43;0.54;1;0.5
https://github.com/django/django;450419;1226;django;django-html-escape;Python;1100;23604;17;10;0.231;0.133;2;3;4;2;0.3;24;0.68;3;0
https://github.com/moodle/moodle;559533;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;10;0.231;0.938;8;3;0;4;0.3;27;0.67;2;1.3
https://github.com/moodle/moodle;559540;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;17;0.208;0.456;1;3;0;1;0;37;0.72;2;1.3
https://github.com/liferay/liferay-portal;148774;3981;liferay;liferay-portal;Java;341;118673;7;9;0.165;0.261;2;3;0;7;0.7;34;0.43;3;0.5
https://github.com/moodle/moodle;559534;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;11;0.153;0.462;2;3;1;6;0.7;37;0.79;3;1.5
https://github.com/holman/dotfiles;673758;3545;holman;dotfiles-v2;C;886;19168;9;7;0.027;0.658;9;3;5;6;1;28;0.8;3;1.5
https://github.com/mxcube/mxcube;26067;3537187;mxcube;mxcube;Python;23;1050;21;1;0.496;1;14;4;4;1;0.5;44;0.57;2;1.5
https://github.com/genome/gms;690536;804746;genome;gms-core;Perl;52;4905;18;5;0.337;0.235;2;4;1;7;0.3;25;0.8;3;1.3
https://github.com/moodle/moodle;559546;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;23;0.199;0.394;3;4;5;1;0.6;42;0.63;4;0.9
https://github.com/puppetlabs/puppet;211232;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;16;0.094;0.386;6;4;0;8;0.5;21;0.45;1;0.9
https://github.com/burke/zeus;995106;2857;burke;zeus;Go;55;714;18;2;0.091;0.123;2;4;4;5;0.4;27;0.55;4;0.3
https://github.com/rspec/rspec-core;579574;46357;rspec;core;Ruby;256;4802;6;6;0.053;0.281;6;4;5;4;0.6;42;0.65;3;1.4
https://github.com/travis-ci/travis-ci;108366;14915;travis-ci;travis-ci;JavaScript;129;7076;12;8;0.032;0.028;6;4;0;5;0.3;29;0.57;4;0.3
https://github.com/chapuni/llvm-project;827045;163432;jrk;llvm;C++;43;304;13;1;0.142;1;1;5;5;5;0.2;32;0.74;5;0.5
https://github.com/chapuni/llvm-project;685768;147157;Bigcheese;llvm;C++;42;150;12;1;0.133;1;2;5;0;1;0.8;37;0.64;2;0.3
https://github.com/django/django;450411;1226;django;django-html-escape;Python;1100;23604;17;2;0.124;0.2;3;5;0;7;0.6;41;0.83;5;1.3
https://github.com/jedi4ever/veewee;191006;13255;jedi4ever;veewee;Shell;366;3228;11;8;0.106;0.43;5;5;0;7;0.4;28;0.6;3;0.8
https://github.com/rspec/rspec-core;579580;46357;rspec;core;Ruby;256;4802;6;12;0.088;0.169;3;5;5;8;0.3;42;0.49;4;0.9
https://github.com/torvalds/linux;806622;1088;torvalds;linux-imx6-1;C;1053;104219;14;10;0.045;0.206;1;5;2;3;0.1;23;0.75;3;0.6
https://github.com/emberjs/ember.js;778482;540;emberjs;amber.js;JavaScript;480;9756;13;6;0.034;0.153;2;5;1;4;0.6;24;0.75;5;0.5
https://github.com/torvalds/linux;806626;1088;torvalds;linux-imx6-1;C;1053;104219;14;14;0.027;0.531;3;5;0;5;0.9;34;0.47;5;0.8
https://github.com/torvalds/linux;806624;1088;torvalds;linux-imx6-1;C;1053;104219;14;12;0.022;0.24;1;5;2;5;1;25;0.67;4;1.3
https://github.com/puppetlabs/puppet;211229;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;13;0.159;0.458;2;6;1;7;1;31;0.76;3;0.5
https://github.com/puppetlabs/puppet;506970;873008;puppetlabs;puppetlabs-puppetdb;Puppet;49;357;18;1;0.142;0.769;2;6;5;2;0.7;24;0.65;2;0.1
https://github.com/moodle/moodle;559536;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;13;0.121;0.486;10;6;5;2;0.3;27;0.5;3;0.1
https://github.com/django/django;450433;1226;django;django-html-escape;Python;1100;23604;17;24;0.095;0.656;1;6;4;4;0.6;23;0.82;5;1.4
https://github.com/emberjs/ember.js;778485;540;emberjs;amber.js;JavaScript;480;9756;13;9;0.074;0.152;7;6;2;0;0;44;0.49;1;0.5
https://github.com/django/django;450428;1226;django;django-html-escape;Python;1100;23604;17;19;0.072;0.665;1;6;1;2;1;26;0.45;2;0.1
https://github.com/travis-ci/travis-ci;108369;14915;travis-ci;travis-ci;JavaScript;129;7076;12;11;0.053;0.018;8;6;3;7;1;26;0.82;3;0.6
https://github.com/robbyrussell/oh-my-zsh;839934;3231;robbyrussell;zsh-config;Python;3384;25212;6;4;0.038;0.322;12;6;2;0;0;45;0.44;3;1.5
https://github.com/cloudfoundry-attic/cf-docs;850716;143060;cloudfoundry;cf-docs;Shell;133;1136;17;3;0.48;0.5;1;7;1;8;0.1;37;0.76;3;1.4
https://github.com/genome/gms;690533;804746;genome;gms-core;Perl;52;4905;18;2;0.211;0.069;20;7;4;4;0.5;32;0.48;1;0.9
https://github.com/liferay/liferay-portal;148780;3981;liferay;liferay-portal;Java;341;118673;7;15;0.139;0.237;31;7;5;3;0.9;40;0.49;1;1.2
https://github.com/liferay/liferay-portal;148778;3981;liferay;liferay-portal;Java;341;118673;7;13;0.129;0.263;2;7;0;8;0.4;25;0.66;2;0.6
https://github.com/torvalds/linux;806636;1088;torvalds;linux-imx6-1;C;1053;104219;14;24;0.112;0.368;11;7;5;1;0.4;43;0.45;2;1.4
https://github.com/puppetlabs/puppet;211240;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;24;0.099;0.543;2;7;4;6;0.1;21;0.52;5;0.8
https://github.com/django/django;450423;1226;django;django-html-escape;Python;1100;23604;17;14;0.095;0.095;3;7;4;5;0.7;32;0.65;1;0.9
https://github.com/robbyrussell/oh-my-zsh;839944;3231;robbyrussell;zsh-config;Python;3384;25212;6;14;0.084;0.458;5;7;0;7;0.6;35;0.4;2;0.4
https://github.com/django/django;450431;1226;django;django-html-escape;Python;1100;23604;17;22;0.076;0.504;19;7;1;1;0.9;28;0.54;4;0.6
https://github.com/robbyrussell/oh-my-zsh;839943;3231;robbyrussell;zsh-config;Python;3384;25212;6;13;0.067;0.525;3;7;5;1;0;38;0.57;5;0.1
https://github.com/robbyrussell/oh-my-zsh;839937;3231;robbyrussell;zsh-config;Python;3384;25212;6;7;0.062;0.61;7;7;0;3;0.9;23;0.78;4;1.1
https://github.com/puppetlabs/puppet;211230;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;14;0.061;0.606;11;7;5;0;0;28;0.52;4;0.3
https://github.com/robbyrussell/oh-my-zsh;839936;3231;robbyrussell;zsh-config;Python;3384;25212;6;6;0.049;0.59;3;7;1;1;0.5;29;0.48;5;0
https://github.com/symfony/symfony-docs;531311;10070;symfony;symfony-docs-id;Python;772;9969;8;9;0.047;0.514;1;7;4;1;0.8;25;0.6;2;0
https://github.com/torvalds/linux;806628;1088;torvalds;linux-imx6-1;C;1053;104219;14;16;0.025;0.303;9;7;1;4;0.6;26;0.64;3;0
https://github.com/genome/gms;690534;804746;genome;gms-core;Perl;52;4905;18;3;0.365;0.214;5;8;4;4;0.1;42;0.55;5;0.6
https://github.com/akretion/openerp-addons;15064;3085817;Akretion;openerp-addons;Python;113;2363;19;4;0.327;0.932;6;8;1;4;0.1;36;0.48;3;0.8
https://github.com/genome/gms;690535;804746;genome;gms-core;Perl;52;4905;18;4;0.302;0.219;4;8;1;2;0.4;37;0.64;5;0.8
https://github.com/cloudfoundry-attic/cf-docs;850717;143060;cloudfoundry;cf-docs;Shell;133;1136;17;4;0.18;0.583;4;8;0;2;0.5;27;0.64;5;0.7
https://github.com/moodle/moodle;559545;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;22;0.169;0.366;10;8;3;8;0;38;0.56;3;0.6
https://github.com/liferay/liferay-portal;148781;3981;liferay;liferay-portal;Java;341;118673;7;16;0.166;0.193;2;8;4;5;0.8;30;0.7;1;1.4
https://github.com/chapuni/llvm-project;739694;10;chapuni;llvm;C++;269;11874;12;5;0.133;0.295;12;8;1;5;1;21;0.8;3;0.6
https://github.com/liferay/liferay-portal;148772;3981;liferay;liferay-portal;Java;341;118673;7;7;0.126;0.431;1;8;1;7;0.6;39;0.78;5;0
https://github.com/symfony/symfony-docs;531309;10070;symfony;symfony-docs-id;Python;772;9969;8;7;0.098;0.523;13;8;0;6;0.4;39;0.7;3;0.6
https://github.com/emberjs/ember.js;778484;540;emberjs;amber.js;JavaScript;480;9756;13;8;0.074;0.234;6;8;2;6;0.6;24;0.48;1;0.6
https://github.com/symfony/symfony-docs;531314;10070;symfony;symfony-docs-id;Python;772;9969;8;12;0.058;0.467;5;8;5;5;0.5;22;0.5;1;0.9
https://github.com/symfony/symfony-docs;531312;10070;symfony;symfony-docs-id;Python;772;9969;8;10;0.033;0.503;7;8;1;7;0.9;34;0.59;5;0.6
https://github.com/chapuni/llvm-project;883893;1847533;loganchien;llvm;C++;26;508;18;5;0.245;0.857;1;9;1;5;0.9;74;0.05;4;1.4
https://github.com/chapuni/llvm-project;739692;10;chapuni;llvm;C++;269;11874;12;3;0.155;0.855;3;9;2;2;0.8;60;0.24;2;0.1
