selected project;rowId;projectId;ownerLogin;name;language;totalCommitters;totalcommits;projectAge;windowIdx;blauGender;turnover;female;radio;tenureMedian;tenureDiversity;expertise;teamSize;stCongruence;truckFactor;centrality
https://github.com/django/django;450410;1226;django;django-html-escape;Python;1100;23604;17;1;0.142;0.37;1;0;1;1;0.7;13;0.4;1;0.7
https://github.com/holman/dotfiles;673758;3545;holman;dotfiles-v2;C;886;19168;9;7;0.027;0.35;1;0;5;6;1;74;0;3;1.5
https://github.com/torvalds/linux;806616;1088;torvalds;linux-imx6-1;C;1053;104219;14;4;0.026;0.37;1;0;5;8;0.6;77;0.8;1;1.1
https://github.com/torvalds/linux;806626;1088;torvalds;linux-imx6-1;C;1053;104219;14;14;0.027;0.4;1;0;0;5;0.9;74;0.7;5;0.8
https://github.com/akretion/openerp-addons;515462;5697168;Akretion;openerp-addons-ci;Python;10;197;23;1;0.5;0.34;1;0;5;5;0;2;1;2;0
https://github.com/puppetlabs/puppet;506971;873008;puppetlabs;puppetlabs-puppetdb;Puppet;49;357;18;2;0.124;0.39;1;0;1;4;0;15;1;3;0.1
https://github.com/symfony/symfony-docs;531307;10070;symfony;symfony-docs-id;Python;772;9969;8;5;0.027;0.36;1;0;0;2;0.5;74;0.7;5;1.3
https://github.com/travis-ci/travis-ci;108360;14915;travis-ci;travis-ci;JavaScript;129;7076;12;2;0.054;0.3;1;0;4;4;0.7;36;0.2;4;1.2
https://github.com/moodle/moodle;559535;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;12;0.071;0.39;1;0;2;4;0.6;27;0.2;1;1.2
https://github.com/burke/zeus;995105;2857;burke;zeus;Go;55;714;18;1;0.021;0.35;1;0;2;7;0.9;94;0.7;4;0.7
https://github.com/cloudfoundry-attic/cf-docs;850714;143060;cloudfoundry;cf-docs;Shell;133;1136;17;1;0.48;0.31;2;0;4;8;0.2;5;0.7;3;0.6
https://github.com/django/django;450413;1226;django;django-html-escape;Python;1100;23604;17;4;0.188;0.36;2;0;5;6;0.9;19;0.2;3;1
https://github.com/django/django;450418;1226;django;django-html-escape;Python;1100;23604;17;9;0.208;0.4;2;0;2;7;0.8;17;0.4;5;0.8
https://github.com/jedi4ever/veewee;191009;13255;jedi4ever;veewee;Shell;366;3228;11;11;0.038;0.38;2;0;4;6;0.2;104;0.6;3;0.2
https://github.com/moodle/moodle;559538;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;15;0.093;0.37;2;0;3;0;1;41;0.2;1;0.4
https://github.com/holman/dotfiles;673761;3545;holman;dotfiles-v2;C;886;19168;9;10;0.029;0.33;3;0;2;5;0.5;201;0.8;1;0.7
https://github.com/puppetlabs/puppet;211237;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;21;0.067;0.39;3;0;1;4;0;87;0;3;1.3
https://github.com/jedi4ever/veewee;191004;13255;jedi4ever;veewee;Shell;366;3228;11;6;0.105;0.33;3;0;1;3;0.2;54;0.5;2;0.6
https://github.com/rspec/rspec-core;579585;46357;rspec;core;Ruby;256;4802;6;17;0.071;0.39;3;0;4;8;0.6;81;0.9;1;0.5
https://github.com/cloudfoundry-attic/cf-docs;850718;143060;cloudfoundry;cf-docs;Shell;133;1136;17;5;0.26;0.34;4;0;3;1;0.8;26;0.8;4;0.9
https://github.com/django/django;450432;1226;django;django-html-escape;Python;1100;23604;17;23;0.036;0.38;4;0;4;7;0.4;219;0.1;3;0.4
https://github.com/chapuni/llvm-project;739696;10;chapuni;llvm;C++;269;11874;12;7;0.082;0.31;4;0;0;5;0.3;93;0.9;5;0.6
https://github.com/akretion/openerp-addons;15067;3085817;Akretion;openerp-addons;Python;113;2363;19;7;0.208;0.33;4;0;2;0;0.3;34;0;5;0
https://github.com/symfony/symfony-docs;531309;10070;symfony;symfony-docs-id;Python;772;9969;8;7;0.098;0.35;4;0;0;6;0.4;77;0.6;3;0.6
https://github.com/rspec/rspec-core;579582;46357;rspec;core;Ruby;256;4802;6;14;0.119;0.33;4;0;2;5;0.1;63;0.3;3;0.7
https://github.com/akretion/openerp-addons;15065;3085817;Akretion;openerp-addons;Python;113;2363;19;5;0.198;0.4;5;0;3;3;0.2;45;1;4;0.8
https://github.com/symfony/symfony-docs;531310;10070;symfony;symfony-docs-id;Python;772;9969;8;8;0.101;0.35;5;0;0;3;0.4;94;0.3;4;1.2
https://github.com/symfony/symfony-docs;531317;10070;symfony;symfony-docs-id;Python;772;9969;8;15;0.078;0.3;5;0;5;5;0;123;0.5;1;1.5
https://github.com/burke/zeus;995106;2857;burke;zeus;Go;55;714;18;2;0.091;0.32;6;0;4;5;0.4;126;0.4;4;0.3
https://github.com/cloudfoundry-attic/cf-docs;850719;143060;cloudfoundry;cf-docs;Shell;133;1136;17;6;0.289;0.38;7;0;0;4;0.4;40;0;4;1.1
https://github.com/django/django;450430;1226;django;django-html-escape;Python;1100;23604;17;21;0.06;0.3;8;0;1;1;0.9;258;0.9;3;1
https://github.com/emberjs/ember.js;778481;540;emberjs;amber.js;JavaScript;480;9756;13;5;0.092;0.32;9;0;1;0;0.6;186;1;4;1.2
https://github.com/liferay/liferay-portal;148774;3981;liferay;liferay-portal;Java;341;118673;7;9;0.165;0.32;9;0;0;7;0.7;99;0.4;3;0.5
https://github.com/mozilla/gecko-dev;900599;6544729;mozilla;gecko-dev;C++;428;6258;23;10;0.126;0.32;20;0;2;0;0.9;295;0.7;5;0.4
https://github.com/django/django;450423;1226;django;django-html-escape;Python;1100;23604;17;14;0.095;0.37;1;1;4;5;0.7;20;0.9;1;0.9
https://github.com/django/django;450425;1226;django;django-html-escape;Python;1100;23604;17;16;0.095;0.39;1;1;3;4;0.1;20;1;4;0.6
https://github.com/chapuni/llvm-project;554385;378623;CTSRD-CHERI;llvm;C++;16;208;18;3;0.32;0.3;1;1;2;7;0.4;5;0.7;2;0.4
https://github.com/chapuni/llvm-project;883893;1847533;loganchien;llvm;C++;26;508;18;5;0.245;0.38;1;1;1;5;0.9;7;0.3;4;1.4
https://github.com/puppetlabs/puppet;211230;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;14;0.061;0.36;1;1;5;0;0;32;0.2;4;0.3
https://github.com/puppetlabs/puppet;506970;873008;puppetlabs;puppetlabs-puppetdb;Puppet;49;357;18;1;0.142;0.4;1;1;5;2;0.7;13;1;2;0.1
https://github.com/symfony/symfony-docs;531308;10070;symfony;symfony-docs-id;Python;772;9969;8;6;0.021;0.34;1;1;2;0;0.5;94;0.2;1;0.4
https://github.com/travis-ci/travis-ci;108363;14915;travis-ci;travis-ci;JavaScript;129;7076;12;5;0.022;0.39;1;1;4;0;0.8;92;0.7;3;1.3
https://github.com/jedi4ever/veewee;191003;13255;jedi4ever;veewee;Shell;366;3228;11;5;0.029;0.38;1;1;1;3;0.7;68;0.3;2;0.7
https://github.com/django/django;450415;1226;django;django-html-escape;Python;1100;23604;17;6;0.165;0.35;2;1;5;4;0.9;22;0.6;2;1.3
https://github.com/puppetlabs/puppet;211231;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;15;0.108;0.37;2;1;3;3;0.2;35;0.3;5;1
https://github.com/travis-ci/travis-ci;108365;14915;travis-ci;travis-ci;JavaScript;129;7076;12;7;0.029;0.37;2;1;5;6;0.9;135;0.3;3;1.2
https://github.com/jedi4ever/veewee;191007;13255;jedi4ever;veewee;Shell;366;3228;11;9;0.061;0.38;2;1;5;6;0.6;63;1;2;0.1
https://github.com/moodle/moodle;559536;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;13;0.121;0.37;2;1;5;2;0.3;31;0.7;3;0.1
https://github.com/burke/zeus;995107;2857;burke;zeus;Go;55;714;18;3;0.032;0.39;2;1;5;8;1;122;0.6;1;0.7
https://github.com/burke/zeus;995109;2857;burke;zeus;Go;55;714;18;5;0.04;0.3;2;1;1;2;0.4;98;0.9;1;0.1
https://github.com/holman/dotfiles;673762;3545;holman;dotfiles-v2;C;886;19168;9;11;0.034;0.4;3;1;0;7;0.3;176;0.9;5;0.3
https://github.com/moodle/moodle;559539;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;16;0.117;0.38;3;1;4;1;0.9;48;1;1;0.1
https://github.com/holman/dotfiles;673760;3545;holman;dotfiles-v2;C;886;19168;9;9;0.067;0.39;4;1;4;5;0.3;116;0.6;2;1.1
https://github.com/liferay/liferay-portal;148776;3981;liferay;liferay-portal;Java;341;118673;7;11;0.071;0.36;4;1;4;1;0.9;109;0.6;3;1.2
https://github.com/genome/gms;690535;804746;genome;gms-core;Perl;52;4905;18;4;0.302;0.39;5;1;1;2;0.4;27;0;5;0.8
https://github.com/liferay/liferay-portal;148777;3981;liferay;liferay-portal;Java;341;118673;7;12;0.075;0.37;5;1;3;6;0.7;128;0.9;5;1.4
https://github.com/django/django;450427;1226;django;django-html-escape;Python;1100;23604;17;18;0.084;0.35;6;1;1;5;0.6;137;0.8;3;1.2
https://github.com/genome/gms;690536;804746;genome;gms-core;Perl;52;4905;18;5;0.337;0.39;6;1;1;7;0.3;28;1;3;1.3
https://github.com/liferay/liferay-portal;148772;3981;liferay;liferay-portal;Java;341;118673;7;7;0.126;0.38;6;1;1;7;0.6;89;1;5;0
https://github.com/torvalds/linux;806629;1088;torvalds;linux-imx6-1;C;1053;104219;14;17;0.068;0.3;6;1;3;4;0.2;170;0.3;4;1.3
https://github.com/mxcube/mxcube;26067;3537187;mxcube;mxcube;Python;23;1050;21;1;0.496;0.33;6;1;4;1;0.5;11;1;2;1.5
https://github.com/holman/dotfiles;673763;3545;holman;dotfiles-v2;C;886;19168;9;12;0.049;0.3;7;1;2;3;0.9;276;0.9;5;1.3
https://github.com/holman/dotfiles;673765;3545;holman;dotfiles-v2;C;886;19168;9;14;0.042;0.31;7;1;3;8;0.4;328;0.1;2;0.8
https://github.com/liferay/liferay-portal;148775;3981;liferay;liferay-portal;Java;341;118673;7;10;0.11;0.33;7;1;2;3;0.8;120;0.7;4;1.3
https://github.com/chapuni/llvm-project;739698;10;chapuni;llvm;C++;269;11874;12;9;0.112;0.4;7;1;2;8;0.8;117;0.2;5;0.5
https://github.com/moodle/moodle;559541;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;18;0.165;0.4;7;1;0;2;0.6;77;0.8;3;1.4
https://github.com/robbyrussell/oh-my-zsh;839938;3231;robbyrussell;zsh-config;Python;3384;25212;6;8;0.048;0.35;8;1;3;3;1;328;0.9;2;1.3
https://github.com/liferay/liferay-portal;148780;3981;liferay;liferay-portal;Java;341;118673;7;15;0.139;0.34;11;1;5;3;0.9;146;0.3;1;1.2
https://github.com/emberjs/ember.js;778480;540;emberjs;amber.js;JavaScript;480;9756;13;4;0.013;0.42;1;2;4;7;0.7;157;0.3;3;1.1
https://github.com/cloudfoundry-attic/cf-docs;850715;143060;cloudfoundry;cf-docs;Shell;133;1136;17;2;0.375;0.44;1;2;4;8;0.2;4;0.9;4;0.8
https://github.com/django/django;450411;1226;django;django-html-escape;Python;1100;23604;17;2;0.124;0.48;1;2;0;7;0.6;15;0.3;5;1.3
https://github.com/django/django;450414;1226;django;django-html-escape;Python;1100;23604;17;5;0.117;0.43;1;2;2;1;0.3;16;0.6;4;1.4
https://github.com/django/django;450424;1226;django;django-html-escape;Python;1100;23604;17;15;0.074;0.54;1;2;0;1;0;26;0.3;3;0.1
https://github.com/liferay/liferay-portal;148770;3981;liferay;liferay-portal;Java;341;118673;7;5;0.375;0.42;1;2;4;4;0.2;4;0.1;3;0.9
https://github.com/torvalds/linux;806624;1088;torvalds;linux-imx6-1;C;1053;104219;14;12;0.022;0.54;1;2;2;5;1;89;1;4;1.3
https://github.com/torvalds/linux;806625;1088;torvalds;linux-imx6-1;C;1053;104219;14;13;0.028;0.55;1;2;5;2;0.3;71;0.1;1;1
https://github.com/akretion/openerp-addons;15061;3085817;Akretion;openerp-addons;Python;113;2363;19;1;0.375;0.49;1;2;0;4;0;4;0.5;1;0.5
https://github.com/rspec/rspec-core;579576;46357;rspec;core;Ruby;256;4802;6;8;0.025;0.56;1;2;4;2;0.1;80;1;1;0.7
https://github.com/django/django;450419;1226;django;django-html-escape;Python;1100;23604;17;10;0.231;0.52;2;2;4;2;0.3;15;0.7;3;0
https://github.com/django/django;450426;1226;django;django-html-escape;Python;1100;23604;17;17;0.057;0.44;2;2;0;6;0.6;68;0.2;4;0.9
https://github.com/genome/gms;690532;804746;genome;gms-core;Perl;52;4905;18;1;0.133;0.57;2;2;0;3;0.4;28;1;1;1.4
https://github.com/torvalds/linux;806628;1088;torvalds;linux-imx6-1;C;1053;104219;14;16;0.025;0.58;2;2;1;4;0.6;155;0.7;3;0
https://github.com/chapuni/llvm-project;685768;147157;Bigcheese;llvm;C++;42;150;12;1;0.133;0.43;2;2;0;1;0.8;28;0;2;0.3
https://github.com/puppetlabs/puppet;211229;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;13;0.159;0.53;2;2;1;7;1;23;0.1;3;0.5
https://github.com/robbyrussell/oh-my-zsh;839935;3231;robbyrussell;zsh-config;Python;3384;25212;6;5;0.04;0.44;2;2;4;7;0.8;99;0.5;3;0.5
https://github.com/rspec/rspec-core;579583;46357;rspec;core;Ruby;256;4802;6;15;0.052;0.59;2;2;5;1;0.3;75;1;1;0.5
https://github.com/emberjs/ember.js;778482;540;emberjs;amber.js;JavaScript;480;9756;13;6;0.034;0.36;3;2;1;4;0.6;173;0.8;5;0.5
https://github.com/genome/gms;690533;804746;genome;gms-core;Perl;52;4905;18;2;0.211;0.39;3;2;4;4;0.5;25;0.7;1;0.9
https://github.com/torvalds/linux;806627;1088;torvalds;linux-imx6-1;C;1053;104219;14;15;0.035;0.35;3;2;4;8;0.1;167;0;4;0.4
https://github.com/puppetlabs/puppet;211238;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;22;0.075;0.36;3;2;3;2;0.4;77;0.7;5;1
https://github.com/symfony/symfony-docs;531306;10070;symfony;symfony-docs-id;Python;772;9969;8;4;0.142;0.36;3;2;0;1;0.1;39;0.9;4;1.3
https://github.com/rspec/rspec-core;579579;46357;rspec;core;Ruby;256;4802;6;11;0.103;0.31;3;2;5;4;0.8;55;0;2;0.3
https://github.com/holman/dotfiles;673764;3545;holman;dotfiles-v2;C;886;19168;9;13;0.029;0.31;4;2;5;5;0.3;270;0.1;1;0.6
https://github.com/puppetlabs/puppet;211236;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;20;0.092;0.33;4;2;5;5;0.9;83;0.1;5;0.2
https://github.com/symfony/symfony-docs;531314;10070;symfony;symfony-docs-id;Python;772;9969;8;12;0.058;0.4;4;2;5;5;0.5;135;0.2;1;0.9
https://github.com/moodle/moodle;559543;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;20;0.09;0.33;4;2;1;6;0;85;0.5;5;0.9
https://github.com/rspec/rspec-core;579575;46357;rspec;core;Ruby;256;4802;6;7;0.097;0.33;4;2;4;6;0.9;78;0;5;0.1
https://github.com/chapuni/llvm-project;739692;10;chapuni;llvm;C++;269;11874;12;3;0.155;0.37;5;2;2;2;0.8;59;0.1;2;0.1
